dist,ride,walk,pt,car,bike
4500,0.10467093976470955,0.05752514838045031,0.3435992080414839,0.32336474199154824,0.17083996182180772
4600,0.10616718038165646,0.05529040606171607,0.3509171467603493,0.320976130035171,0.1666491367611073
4700,0.10733939273173838,0.05266342154169173,0.36071152568906734,0.3179039981431098,0.16138166189439268
4800,0.10737507805900015,0.049941696990387995,0.3733005803076947,0.3148433411388778,0.15453930350403938
4900,0.10634922860301617,0.04749883829431701,0.387023505419914,0.3124942059108773,0.1466342217718754
5000,0.10509908992543966,0.04518130577601912,0.3999725280584685,0.31119259280287953,0.13855448343719318
5100,0.10423456260498488,0.04298589461185191,0.4124747877187448,0.3092099357237802,0.1310948193406383
5200,0.10303191218793595,0.04065786397152137,0.4258118257768952,0.3063631896916033,0.12413520837204434
5300,0.09994171501427822,0.03849588049161986,0.43918292964582895,0.30408964878447275,0.11828982606380026
5400,0.09549422542939887,0.036670226573640434,0.4502860630443375,0.3035281408790643,0.11402134407355889
5500,0.09079118783717308,0.035826233880602895,0.4581312075108201,0.30398888513323125,0.11126248563817263
5600,0.08715478440672551,0.03595978576345042,0.46223090013560275,0.30446698409242245,0.11018754560179883
5700,0.08480791225298222,0.03625003626491336,0.46430262630815133,0.30463461282896226,0.11000481234499085
5800,0.08337955320164518,0.03633090399404975,0.4644563031800718,0.3055903158421835,0.11024292378204983
5900,0.08202887091225781,0.036555241678449465,0.46323162084084096,0.3079018705774968,0.11028239599095499
6000,0.08107917876027408,0.03691201734692287,0.4620970002839359,0.31076900033642835,0.10914280327243886
6100,0.08131886375981118,0.03763334065576422,0.46294889697498703,0.31180363767169994,0.1062952609377376
6200,0.08279122341800646,0.03810120324240539,0.4661804318664628,0.3108501330843567,0.10207700838876857
6300,0.08490817105175325,0.03776523973907258,0.47132701138809596,0.3090114040309012,0.096988173790177
6400,0.0871127435422044,0.0370256486499855,0.4762551254398797,0.3081752350254969,0.09143124734243364
6500,0.08889817719646473,0.036488109190428906,0.4790604769576456,0.30956516723925653,0.08598806941620427
6600,0.09023874755840361,0.036386606862221955,0.48095971564255874,0.311638894344659,0.08077603559215665
6700,0.09056758343739438,0.03693237842703377,0.4839126455413953,0.312081244041031,0.07650614855314553
6800,0.09038985626914225,0.03749697803444313,0.487499225962283,0.31107276547499935,0.07354117425913233
6900,0.09018799061052872,0.03726680220700207,0.4902420068859136,0.3111329965933495,0.07117020370320619
7000,0.0899870785414201,0.03645281860565178,0.48958162092246305,0.31428649839087064,0.0696919835395943
7100,0.08923485292445871,0.03609293918668246,0.48502866720225113,0.32014207129086336,0.06950146939574436
7200,0.08816630040162629,0.037122643227015265,0.478724318189694,0.32629497731911955,0.06969176086254504
7300,0.08675345056465653,0.03956490284768095,0.47428816672406726,0.3296703413026592,0.06972313856093613
7400,0.08482456754888996,0.04281324029582758,0.47187561861654137,0.3305811584966574,0.06990541504208377
7500,0.08354069688024672,0.046661126154807615,0.4692066160445845,0.3304705463977479,0.07012101452261339
7600,0.0840110659118687,0.0505735806079079,0.46496580538592536,0.330962014811167,0.06948753328313109
7700,0.08539930193023511,0.05432270714704564,0.46037127781326487,0.3318204625983168,0.06808625051113748
7800,0.08662831300547198,0.057991015200796435,0.45706791238516997,0.33145590537573805,0.06685685403282346
7900,0.08763478328163936,0.061247486574716334,0.4550171137662237,0.32975503800308337,0.06634557837433713
8000,0.08951449690228769,0.06378600815003332,0.4545736873382222,0.32650500985676917,0.06562079775268759
8100,0.09224315857048099,0.06447141305191795,0.45773738126530295,0.3216358743416151,0.06391217277068295
8200,0.09535915421048148,0.06281588315672762,0.46392642270940165,0.3162785431801891,0.061619996743200206
8300,0.09826956730403323,0.05937874830246502,0.4699211382153903,0.31299409063686184,0.05943645554124961
